ID_MEMBRO	RELEVANTE	DOI	AUTORES	TITULO	NOME EVENTO	ANO	VOLUME	PAGINAS	ITEM
{22}		10.1109/CHILECON.2017.8229731	CASTRO, A. P.; CALIXTO, W. P.; GOMES, V. M.; VEIGA, E. F.; SILVA, L. F. A.; CASTRO, L. L. O. P.; BARBOSA, J. L. F.; CAMPOS, P. H. M.	Ontology applied in the judicial sentences	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{12, 21}			COELHO, W. B.; DE ALMEIDA, S.; DE OLIVEIRA, S. B.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; LIMA, W. S.	ESTUDO CINÉTICO DA PRODUÇÃO DE BIOMETANO de CANA-DE-AÇÚCAR E CANA-ENERGIA	SIGERA, 5. ed.	2017		-		
{1}			COSTA, A. P. C.; CAETANO, M.; SANTOS, A. M. D.	The role of airport infrastructure on air accident and incident	XVI SITRAER - Simpósio de Transporte Aéreo	2017	16	1-20		
{5}			CREMON, E. H.; MONTANHER, O. C.; BAYER, M.	Viabilidade de estimativa de sedimentos suspensos com dados TM/Landsat-5 para o rio Araguaia	XVIII Simpósio Brasileiro de Sensoriamento Remoto	2017		-		
{2, 22}		10.1109/urucon.2017.8171849	DA SILVA, K. R.; DOMINGOS, J. L.; ALVES, A. J.; DOMINGUES, E. G.; CALIXTO, W. P.; FERREIRA, L. G. G. B.	Analysis of the capacity of electricity production through photovoltaic panels installation on the roofs of the IFG ¿ Câmpus Águas Lindas	2017 IEEE URUCON	2017		1-		
{12, 21}			DE ALMEIDA, S.; TEIXEIRA, L. S. M.; MORAES, A. P.; DA FONSECA-ZANG, W. A.; LEANDRO, W. M.; ZANG, J. W.	Validação de metodologia analítica para determinação de arsênio em fertilizantes orgânicos e condicionadores de solo.	SIGERA, 5. Ed.	2017		-		
{22}		10.1109/CHILECON.2017.8229740	DE MELO, E. B.; DE MELO, G.; CALIXTO, W. P.; REIS, M. R. C.	An application of genetic algorithm and the serial schedule generation scheme for solving the Resource-Constrained Project Scheduling Problem	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{22}		10.1109/CHILECON.2017.8229739	DE MELO, G.; OLIVEIRA, S. M.; FERREIRA, C. C.; FILHO VASCONCELO, E. P.; CALIXTO, W. P.; FURRIEL, G. P.	Evaluation techniques of machine learning in task of reprovation prediction of technical high school students	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{22}		10.1109/EPE.2017.7967304	DIAS, R. N. H. M.; GANZAROLI, C. A.; DE CARVALHO, D. F.; FURRIEL, G. P.; COUTO, L. A.; CALIXTO, W. P.	Comparative study between optimized controllers fuzzy X MPC	2017 18th International Scientific Conference on Electric Power Engineering (EPE)	2017		1-		
{22, 14}		10.1109/URUCON.2017.8171858	FARIA, A. F.; DOMINGOS, J. L.; JUNIOR ALEXANDRE, J.; ALVES, A. J.; DOMINGUES, E. G.; CALIXTO, W. P.; FERREIRA, L. G. G. B.	Energy Efficiency and Renewable Energy: Energy, Economics and Environmental Gains	2017 IEEE URUCON	2017		1-		
{2, 22, 14}		10.1109/EPE.2017.7967324	FERREIRA, L. G. G. B.; DOMINGOS, J. L.; ALVES, A. J.; CALIXTO, W. P.; DOMINGUES, E. G.; DE LIMA, R. A.	Wind's actions effects on photovoltaic panels installed on rooftop of buildings	2017 18th International Scientific Conference on Electric Power Engineering (EPE)	2017		1-		
{18, 22}		10.1109/CHILECON.2017.8229738	FURRIEL, G. P.; MATIAS, C. A.; CALIXTO, W. P.; OLIVEIRA, S. B.; DA SILVA, J. G.; NARCISO, M. G.	Acoustics applied in precision agriculture	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{4, 22}		10.1109/CHILECON.2017.8229724	GANZAROLI, C. A.; DO COUTO, L. A.; NETO DAYWES; DE CARVALHO, D. F.; DIAS, R. N. H. M.; CALIXTO, W. P.	Nonlinear practical model based predictive control: Study case with DC motor	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{22}		10.1109/CHILECON.2017.8229723	GOMES, V. M.; ASSIS, A. O.; MATIAS, C. A.; SARAIVA, J. P.; GOMES, F. A.; WAINER, G. A.; LIMA, B. S.; MAGALHAES, A. S.; CALIXTO, W. P.; FLORES, P. H. R.; BULHOES, J. S.	Analytical method for calculating the sensitivity index of system parameters	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{5}			GUIMARAES, E. A.; CREMON, E. H.	ANÁLISE DA CLASSIFICAÇÃO DO USO E COBERTURA DA TERRA DO CERRADO BASEADO NA COMBINAÇÃO DE IMAGENS ÓPTICAS E SAR	IV SBG - Simpósio Brasileiro de Geomática e II Jornadas Lusófonas sobre Ciências e Tecnologias de Informação Geográfica/CTIG	2017		186-192		
{22}		10.1109/CHILECON.2017.8229737	LINO, A. F. S.; SILVA, B. C. R.; ROCHA, D. P. C.; FURRIEL, G. P.; CALIXTO, W. P.	Performance of haar and LBP features in cascade classifiers to whiteflies detection and counting	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{2, 22}		10.1109/EPE.2017.7967310	MAGALHAES, A. S.; BULHOES, J. S.; FURRIEL, G. P.; REIS, M. R. C.; ALVES, A. J.; SILVA, A. H. F.; CALIXTO, W. P.	Parametric regression in synchronous and induction generators	2017 18th International Scientific Conference on Electric Power Engineering (EPE)	2017		1-		
{2, 22}		10.1109/CHILECON.2017.8229726	MAGALHAES, A. S.; BULHOES, J. S.; MATIAS, C. A.; SILVA, A. H. F.; FURRIEL, G. P.; REIS, M. R. C.; WAINER, G. A.; GOMES, V. M.; CALIXTO, W. P.; ALVES, A. J.	Sensitivity analysis of the synchronous generation repowering system in parallel with induction generator	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{22}			MARTINS, D. W. P.; SILVA, D. J. R.; CALIXTO, W. P.	Aparato para ensaio automático de sedimentação e análise granulométrica	Congresso de Pesquisa, Ensino e Extensão	2017		-		
{4, 22}		10.1109/CHILECON.2017.8229736	MEDEIROS, G. P.; STACH, A. H. M.; COSTA, A. N.; PINTO, L. S.; DOMINGUES, E. G.; NETO PINHEI, D.; CALIXTO, W. P.; TSCHUDIN, M. H. E.	Technical and economic feasibility of using microturbines for the energy utilization of landfill gas	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{2}		10.1109/epe.2017.7967305	NETO DE MENEZ, J. T.; ALVES, A. J.; CARVALHAES, V.	An efficiency study on the urban solid waste gasification process for electric power generation	2017 18th International Scientific Conference on Electric Power Engineering (EPE)	2017		1-		
{22}			NETO SANT, A. S.; CALIXTO, W. P.	Aplicação da modelagem de equações estruturais para avaliação da satisfação dos alunos de engenharia de produção segundo ENADE 2011	Congresso de Pesquisa, Ensino e Extensão	2017		-		
{18}			PACHECO, R. V.; BRUM, S. S.; DE OLIVEIRA, S. B.; DOMINGOS, M. E. G. R.; SUZUKI, L.	Materiais carbonáceos obtidos a partir de carbonização hidrotérmica de cascas da espécie Magonia Pubescens (Tingui) e sua avaliação em processos de adsorção	7° Congresso Brasileiro de Carbono, 2017	2017	1	98-101		
{18}			PACHECO, R. V.; BRUM, S. S.; MENDONCA, A. R. V.; OLIVEIRA, S. B.; OJALA, S. A.	Carbonos ativados preparados através da carbonização hidrotérmica de resíduos florestais da espécie Magonia pubescens (Tingui) e ativação física empregando-se baixas temperaturas para utilização como adsorventes de contaminantes orgânicos	7° Congresso Brasileiro de Carbono, 2017	2017	1	256-259		
{2, 4, 22}		10.1109/CHILECON.2017.8229719	PINHEIRO-NETO, D.; DOMINGUES, E. G.; ALVES, A. J.; CALIXTO, W. P.	Investment risk analysis for small hydro power plants in the short term market in Brazil	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{4}		10.1109/chilecon.2017.8229735	PINTO, L. S.; DOMINGUES, E. G.; NETO PINHEI, D.; VIEIRA, F. P.; RAMALHO, S.; TSCHUDIN, M. H. E.; MEDEIROS, G. P.	Risk analysis of the electric power generation potential from biogas coming from vinasse biodigestion	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{1}			RAMOS, H. F.; SANTOS, A. M. D.; SANTOS, R. L.; OLIVEIRA, W. N.; NUNES, F. G.	Análise comparativa em SIG da Delimitação automática de Bacia Hidrográfica	XVIII Simpósio Brasileiro de Sensoriamento Remoto	2017	18	1-8		
{22}		10.1109/EPE.2017.7967297	REIS, M. R. C.; CALIXTO, W. P.; ARAUJO, W. R. H.; MATIAS, C. A.	Increasing efficiency of the switched reluctance generator using parametric regression and optimization methods	2017 18th International Scientific Conference on Electric Power Engineering (EPE)	2017		1-		
{22}		10.1109/CHILECON.2017.8229729	REZENDE, K. K. M.; RODRIGUES, L.; CAMPOS, P. H. M.; CALIXTO, W. P.; FURRIEL, G. P.	Technique development to improve electrical grounding systems performance	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{22}			RODRIGUES, B. A.; PAIVA, J. R. B.; GOMES, V. M.; MORRIS, C.; CALIXTO, W. P.	Passfault: an Open Source Tool for Measuring Password Complexity and Strength	The 8th International Multi-Conference on Complexity, Informatics and Cybernetics (IMCIC 2017)	2017		1-7		
{22}		10.1109/EPE.2017.7967346	SALLES, D. M.; DA SILVA, D. P.; MATIAS, C. A.; DOMINGUES, E. G.; PINTO, L. S.; MILOGRANA, J.; CALIXTO, W. P.	Behavior of temperature in photovoltaic panels installed on surfaces with different albedo indexes	2017 18th International Scientific Conference on Electric Power Engineering (EPE)	2017		1-		
{2, 22}		10.1109/EPE.2017.7967347	SANTOS, L. M.; ALVES, A. J.; MATIAS, C. A.; CALIXTO, W. P.	Studies for the efficiency of a water pumping system for cooling and improving the electrical efficiency of photovoltaic panels	2017 18th International Scientific Conference on Electric Power Engineering (EPE)	2017		1-		
{2, 22, 14}		10.1109/urucon.2017.8171868	SANTOS, L. M.; ALVES, A. J.; SALLES, D. M.; MATIAS, C. A.; DOMINGOS, J. L.; DOMINGUES, E. G.; CALIXTO, W. P.	Technical analysis of the application of water in the improvement of the electrical efficiency in photovoltaic panels	2017 IEEE URUCON	2017		1-		
{22}		10.1109/EPE.2017.7967329	SARAIVA, J. P.; LIMA, B. S.; GOMES, V. M.; FLORES, P. H. R.; GOMES, F. A.; ASSIS, A. O.; REIS, M. R. C.; ARAUJO, W. R. H.; ABRENHOSA, C.; CALIXTO, W. P.	Calculation of sensitivity index using one-at-a-time measures based on graphical analysis	2017 18th International Scientific Conference on Electric Power Engineering (EPE)	2017		1-		
{2, 22}		10.1109/CHILECON.2017.8229725	SILVA, A. H. F.; SILVA, U. F.; CALIXTO, W. P.; MAGALHAES, A. S.; ALVES, A. J.	Conformal mapping applied to encoding and decoding of images	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{22}		10.1109/EPE.2017.7967322	SILVA, B. C. R.; FURRIEL, G. P.; PACHECO, W. C.; BULHOES, J. S.	Methodology and comparison of devices for recognition of sign language characters	2017 18th International Scientific Conference on Electric Power Engineering (EPE)	2017		1-		
{22}		10.1109/CHILECON.2017.8229734	SILVA, B.; CALIXTO, W.; FURRIEL, G.	Devices analysis and artificial neural network parameters for sign language recognition	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{22}		10.1109/CHILECON.2017.8229721	SILVA, C. A.; OLIVEIRA, M. N.; CALIXTO, W. P.; SANTOS, L. E. B.; BARBOSA, J. L. F.; SILVA, D. F. A.	Simulation and minimization of waiting time in rows of elevators of public buildings	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{14}			SILVA, K. R.; DOMINGOS, J. L.; ALVES, A. J.; DOMINGUES, E. G.; CALIXTO, W. P.; FERREIRA, L. G. G. B.	Analysis of the Capacity of Electricity Production Through Photovoltaic Panels Instalattion on the Roofs o the IFG - Campus Goiânia	IEEE URUCON2017	2017		-		
{2, 22}		10.1109/CHILECON.2017.8229733	SILVA, L. F. A.; DA SILVA, M. C.; ALVES, A. J.; REIS, M. R. C.; BULHOES, J. S.; COSTA, R. E.; SILVA, B. C. R.; ALEIXO, E. L.; GOMES, V. M.; CALIXTO, W. P.	Socioeconomic, scientific and technological indicators as parameters for prediction model	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{2, 22}		10.1109/CHILECON.2017.8229722	TSURUDA, L. K.; CALIXTO, W. P.; ALVES, A. J.; VITOR, L. R.; SOUZA, M. B. S. E.	Evaluations of energy efficiency and economic impact of the application of retrofit lighting in popular housing	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{2, 22}		10.1109/EPE.2017.7967349	TSURUDA, L. K.; RODRIGUES, L.; SALLES, D. M.; ALVES, A. J.; CALIXTO, W. P.; VITOR, L. R.; SOUZA, M. B. S. E.	Energy efficiency, rationalization of energy and water consumption in popular houses	2017 18th International Scientific Conference on Electric Power Engineering (EPE)	2017		1-		
{2, 22, 14}		10.1109/eeeic.2016.7555765	ALVES, A. J.; FURRIEL, G. P.; CALIXTO, W. P.; GODOI, F.; SILVA, J. R. S.; PROFETA, F. A.; DOMINGOS, J. L.	Geoelectrical method to obtain 3D maps for distribution of fertilizer in the soil	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{22}		10.1109/EEEIC.2016.7555664	ARAUJO, W. R. H.; CALIXTO, W. P.; REIS, M. R. C.; RODRIGUES, L. F.; MARTINS, D. W. P.	Comparative analysis between PI and fuzzy controllers applied to a workbench with an induction motor	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{22}		10.1109/EEEIC.2016.7555587	BARBOSA, J. L. F.; CALIXTO, W. P.; SIMON, D.	High power LED luminaire design optimization	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{21}			DA SILVA, S. V.; DA FONSECA-ZANG, W. A.; CAPORALE, J.	¥#09;ROMPENDO FRONTEIRAS: TECNOLOGIA A FAVOR DA APRENDIZAGEM DE LÍNGUAS, TROCAS CULTURAIS E CONSTRUÇÃO DE LAÇOS DE AMIZADE	V Jornadas Internacionales de Investigación y Prácticas en Didáctica de las lenguas y las literaturas	2016	1	108--		
{22}		10.1109/EEEIC.2016.7555711	DE CARVALHO, D. F.; GANZAROLI, C. A.; DIAS, R. N. H. M.; COUTO, L. A.; CALIXTO, W. P.	Optimization process applied to tuning of dynamic matrix control: Study case with DC motor	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{2, 22}		10.1109/EEEIC.2016.7555712	DE LIMA, R. A.; COIMBRA, A. C. P.; ALMEIDA, T.; GOMES, V. M.; PEREIRA, T. M.; ALVES, A. J.; CALIXTO, W. P.	Influence of slot geometry on air gap magnetic flux density of rotating machines	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{18, 2, 22}		10.1109/eeeic.2016.7555756	DE OLIVEIRA, S. B.; ALVES, A. J.; CALIXTO, W. P.; FURRIEL, G. P.; GODOI, F.; SILVA, J. R. S.; PROFETA, F. A.	Geoelectrical Prospection to Obtain Distribution Maps of Fertilizer in the Soil.	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{22}		10.1109/EEEIC.2016.7555780	FERRAZ, R. S.; OLIVEIRA, S. G. M.; DE OLIVEIRA, S. B.; CALIXTO, W. P.	Analysis of the soil impedance in high frequencies using an electric impulse generator prototype	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{2}			FERREIRA, A. F.; DOMINGOS, J. L.; SOUSA, T. P.; FRANCO, P. H.; DOMINGOS, E. G.; ALVES, A. J.	Energy Efficiency and Distributed Generation: Case Study	INTERNATIONAL CONFERENCE ON RENEWABLE ENERGIES  AND POWER QUALITY (ICREPQ'16)	2016		-		
{2, 22}		10.1109/eeeic.2016.7555629	FILHO SILV, A.; DA SILVA, C. B.; OLIVEIRA, M.; PIRES, T.; ALVES, A.; CALIXTO, W. P.; NARCISO, M.	Correlation method of physical characteristics with electrical properties of the soil	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{2, 22}		10.1109/eeeic.2016.7555742	FURRIEL, G. P.; ALVES, A. J.; CALIXTO, W. P.; GODOI, F.; SILVA, J. R. S.; PROFETA, F. A.; DOMINGUES, E. G.	Methodology to correlate fertilizer and electrical resistance of soil	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{2, 22}		10.1109/eeeic.2016.7555774	FURRIEL, G. P.; ALVES, A. J.; CALIXTO, W. P.; SILVA, B. C. R.; MATIAS, C. A.; SILVA, U.	Methodology for validating measurement systems of soil compaction	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{22}		10.1109/EEEIC.2016.7555665	GOMES, F. A.; GOMES, V. M.; ASSIS, A. O.; REIS, M. R. C.; DA CRUZ, G.; CALIXTO, W. P.	Heuristic regression method for descriptive data analysis	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{22}		10.20906/CPS/NSC2016-0077	GOMES, V. M.; PAIVA, J. R. B.; FURRIEL, G. P.; ANICETO, B. C. M.; SILVA, L. F. A.; CALIXTO, W. P.; DOMINGUES, E. G.; JUNIOR CRUZ, G.	Complexity Metric Applied to the Discrete Events Systems	6th International Conference on Nonlinear Science and Complexity	2016		-		
{2, 22}		10.1109/eeeic.2016.7555594	MAGALHAES, A. S.; MORAES, P. H. F.; SILVA, A. H. F.; GOMES, P. H. G.; ALVES, A. J.; CALIXTO, W. P.	Parallel operation repowering of synchronous and induction generator	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{2, 22}		10.1109/eeeic.2016.7555846	MATIAS, C. A.; MORAES, P. H. F.; FERNANDES, B. A.; ALVES, A. J.; CALIXTO, W. P.; FURRIEL, G. P.	Simulation and analysis of an isolated full-bridge DC/DC boost converter operating with a modified perturb and observe maximum power point tracking algorithm	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{2, 22}		10.1109/eeeic.2016.7555643	MATIAS, C. A.; SANTOS, L. M.; ALVES, A. J.; CALIXTO, W. P.	Electrical performance evaluation of PV panel through water cooling technique	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{2, 22, 14}			MENITA, B. G.; DOMINGOS, J. L.; DOMINGUES, E. G.; ALVES, A. J.; CALIXTO, W. P.; FARIA, A. F.; SILVA, M. L.	Contribuições para Medição e Verificação em Projetos de Eficiência Energética Envolvendo Aquecimento Solar de Água em Residências de Famílias de Baixa Renda	VI Congresso Brasileiro de Energia Solar - IEE/USP	2016	1	1-1		
{2, 22, 14}		10.1109/EEEIC.2016.7555407	MENITA, B. G.; DOMINGOS, J. L.; DOMINGUES, E. G.; ALVES, A. J.; CALIXTO, W. P.; FARIA, A. F.; MIGUEL, M. L. S.	Energy efficiency  projects involving solar water heating systems in homes of low-income famiies - Measurement and Verification and Stochastic Modelling Applied to Prediction of Electricity Saving	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{2, 22, 14}		10.1109/EEEIC.2016.7555589	MORAES, P. H. F.; MAGALHAES, A. S.; FERREIRA, A. F.; PAIVA, J. R. B.; ALVES, A. J.; CALIXTO, W. P.; DOMINGOS, J. L.; ABRAO, P. J.	Synchronous compensation versus capacitive compensation for reactive power in industrial systems subjected to harmonic distortion	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{2, 22, 14}		10.1109/eeeic.2016.7555652	OLIVEIRA, D. N.; SILVA, C. L. B.; CALIXTO, W. P.; ALVES, A. J.; GOMES, V. M.; DOMINGOS, J. L.	Heuristic methodology for horizontal multilayer soil stratification	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{2, 22}		10.1109/EEEIC.2016.7555582	PAIVA, J. R. B.; GOMES, V. M.; OLIVEIRA, S. G. M.; DOMINGUES, E. G.; ALVES, A. J.; DA CRUZ, G.; CALIXTO, W. P.	Calculation of system complexity based on the connections: Methodology and applications	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{2, 22}		10.1109/EEEIC.2016.7555841	PEREIRA, T. M.; DE LIMA, R. A.; GOMES, V. M.; GUTEMBERGUE, S.; ALVES, A. J.; CALIXTO, W. P.	Soil resistivity study and simulation with finite elements method	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{2}			PIRES, T. G.; NERYS, J. W. L.; SILVA, C. L. B.; OLIVEIRA, D. N.; CALIXTO, W. P.; ALVES, A. J.	Computation of Grounding Grids Parameter on Unconventional Geometry for Any Area	16 IEEE International Conference on Environment and Electrical Engineering (EEEIC 2016)	2016		-		
{22}		10.1109/eeeic.2016.7555693	PIRES, T. G.; NERYS, J. W. L.; SILVA, C. L. B.; OLIVEIRA, D. N.; FILHO SILV, A. M.; CALIXTO, W. P.; ALVES, A. J.	Computation of resistance and potential of grounding grids in any geometry	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{2, 22, 14}		10.1109/EEEIC.2016.7555663	REIS, M. R. C.; CALIXTO, W. P.; ARAUJO, W. R. H.; ALVES, A. J.; DOMINGOS, J. L.	Switched Reluctance Gernerator Efficiency Improvement for Wind Energy Applications	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{22}		10.1109/EEEIC.2016.7555596	REIS, M. R. C.; SILVA, F. S.; ARAUJO, W. R. H.; CALIXTO, W. P.; ARAUJO, D. S.; MENDES, I. N.; ROSE, R. M.	Speed control for direct current motor using optimization tuning for PID controller	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{8}		10.21528/CBRN1999-094	SCHIMIDT, F.; BUENO, M. I. M. S.; EINZWEILER, J.	Determinação de alguns metais em solos por Espectroscopia de Fluorescência de Raios-X de Energia Dispersiva com modelagem por Redes Neurais	4. Congresso Brasileiro de Redes Neurais	2016	unico	396-399		
{2, 22}		10.1109/eeeic.2016.7555575	SILVA, C. L. B.; OLIVEIRA, D. N.; PIRES, T. G.; NERYS, J. W. L.; BARBOSA, P. H. S.; CALIXTO, W. P.; ALVES, A. J.	Optimization of grounding grid's multidesign geometry	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{22}		10.1109/eeeic.2016.7555597	SILVA, U. F.; MANOEL, I. Q.; SILVA, A. H. F.; CALIXTO, W. P.; LEMOS, S.; FURRIEL, G. P.	Conformai mapping applied to the estimate of Surge and Swab geopressures	2016 IEEE 16th International Conference on Environment and Electrical Engineering (EEEIC)	2016		1-		
{22}		10.1109/EEEIC.2015.7165523	ARRUDA, S.; ALVARENGA, B.; CALIXTO, W.	Particle Swarm Optimization with multi-ring topology applied to the optimization of power transmission line parameters	2015 IEEE 15th International Conference on Environment and Electrical Engineering (EEEIC)	2015		2211-2215		
{2, 22}		10.1109/eeeic.2015.7165526	BARBOSA, J. L. F.; CALIXTO, W. P.; LIMA, R. A.; ALVES, A. J.; DOMINGUES, E. G.	Thermal simulation and validation of 5W high power LED luminaire	2015 IEEE 15th International Conference on Environment and Electrical Engineering (EEEIC)	2015		2216-2220		
{2, 22, 14}		10.1109/chilecon.2015.7400425	CALIXTO, W. P.; NOBRE, F. S.; ALVES, A. J.; DOMINGUES, E. G.; DOMINGOS, J. L.; PIRES, T. G.; FERRAZ, R. S.; GOMES, V. M.	Methodology for 3D mapping soil electrical conductivity: A case study	2015 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2015		511-516		
{2, 22}			COSTA, A. N.; DOMINGUES, E. G.; NETO PINHEI, D.; CALIXTO, W. P.; ALVES, A. J.; SANTOS, L.	Energetic Use of Landfill Biogas as a Power Energy Source: An Economic Feasibility Study	INTERNATIONAL CONFERENCE ON RENEWABLE ENERGIES. AND POWER QUALITY (ICREPQ'15)	2015		-		
{12}			COSTA, L. F. S.; LEANDRO, W. M.; ZANG, J. W.; FONSECA-ZANG, W. A.; LEITE, A. F.; OLIVEIRA, S. B.	Avaliação do potencial de produção de biometano a partir de resíduos da produção de açúcar e etanol.	10° Congresso Internacional de Bioenergia	2015	5	-		
{8, 15}		10.1109/animma.2015.7465588	DE OLIVEIRA, L. N.; VIEIRA, S. L.; SCHIMIDT, F.; ANTONIO, P. L.; CALDAS, L. V.	Polybutadiene and Styrene-Butadiene rubbers for high-dose dosimetry	2015 4th International Conference on Advancements in Nuclear Instrumentation Measurement Methods and their Applications (ANIMMA)	2015	unico	1-3		
{2, 22}		10.1109/EEEIC.2015.7165370	FARIA, M. A. A.; STECANELLA, P. A. J.; DOMINGUES, E. G.; GOMES, P. H. G.; CALIXTO, W. P.; ALVES, A. J.	Modeling, simulation and control of a thermoelectric generator	2015 IEEE 15th International Conference on Environment and Electrical Engineering (EEEIC)	2015		1373-1378		
{2, 22}		10.1109/chilecon.2015.7404639	FERRAZ, R.; OLIVEIRA, S.; SILVA, A.; NERYS, J.; ALVES, A.; CALIXTO, W.	Construction of an impulse current generator prototype applied in electrical grounding systems	2015 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2015		649-1		
{2, 22, 14}		10.1109/chilecon.2015.7404652	FILHO M, A.; FURRIEL, G. P.; CALIXTO, W. P.; ALVES, A. J.; PROFETA, F. A.; DOMINGOS, J. L.; DOMINGUES, E. G.; NARCISO, M. G.	Methodology to correlate the humidity, compaction and soil apparent electrical conductivity	2015 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2015		729-734		
{2, 22}		10.1109/eeeic.2015.7165367	FURRIEL, G. P.; CALIXTO, W. P.; ALVES, A. J.; CAMPOS, P. H. M.; DOMINGUES, E. G.	Intelligent system for measuring soil compaction on croplands	2015 IEEE 15th International Conference on Environment and Electrical Engineering (EEEIC)	2015		1357-1361		
{2, 22, 14}		10.1109/chilecon.2015.7404647	FURRIEL, G. P.; CALIXTO, W. P.; ALVES, A. J.; FILHO M, A.; OLIVEIRA, S. G. M.; DOMINGOS, J. L.; DOMINGUES, E. G.	Automatic instrument for measuring soil penetration resistance	2015 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2015		701-705		
{2, 22, 14}		10.1109/chilecon.2015.7400360	GANZAROLI, C. A.; DE CARVALHO, D. F.; DIAS, R. N. H. M.; REIS, M. R. C.; ALVES, A. J.; DOMINGOS, J. L.; CALIXTO, W. P.	Heuristic and deterministic strategies applied on cascade PI controller tuning for speed control of a DC motor	2015 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2015		101-236		
{2, 22}		10.1109/EEEIC.2015.7165326	GOMES, P. H. G.; CALIXTO, W. P.; FARIA, M. A. A.; STECANELLA, P. A. J.; ALVES, A. J.; DOMINGUES, E. G.	Geometry optimization of exhaust ducts applied in thermoelectric cogeneration efficiency	2015 IEEE 15th International Conference on Environment and Electrical Engineering (EEEIC)	2015		1132-1136		
